EmployeeID,Name,Department,Age,Tenure_Years,Tenure_Months,Recent_Promotion,Employment_Type,Manager,Job_Embeddedness1,Job_Embeddedness2,Job_Embeddedness3,Job_Embeddedness4,Job_Embeddedness5,Job_Embeddedness6,Job_Embeddedness7,POS1,POS2,POS3,POS4,POS5,POS6,POS7,POS8,POS9,POS10,Burnout_Exhaustion1,Burnout_Exhaustion2,Burnout_Exhaustion3,Burnout_Exhaustion4,Burnout_Disengagement1,Burnout_Disengagement2,Burnout_Disengagement3,Burnout_Disengagement4,Job_Satisfaction1,Job_Satisfaction2,Job_Satisfaction3,Psych_Safety1,Psych_Safety2,Psych_Safety3,Psych_Safety4,Psych_Safety5,Psych_Safety6,Psych_Safety7,UWES_Vigor1,UWES_Vigor2,UWES_Vigor3,UWES_Dedication1,UWES_Dedication2,UWES_Dedication3,UWES_Absorption1,UWES_Absorption2,UWES_Absorption3,Complaints,Improvements_Suggestions
EMP089,Anthony Blackburn,Marketing,31,4,7,No,Part Time,Amanda Davis,2,5,3,3,2,2,2,4,3,5,3,4,3,4,4,3,3,4,4,4,4,4,4,2,4,2,3,2,3,5,1,3,4,2,2,4,2,4,3,3,3,3,4,3,Unclear performance expectations,Offer more professional development programs
EMP090,Melody Choi,HR,27,2,3,No,Full Time,Lisa Brown,4,5,3,3,4,4,4,3,2,3,3,5,2,1,4,3,3,4,2,3,4,3,4,3,4,4,5,3,3,2,3,1,1,3,2,3,3,3,3,5,4,4,1,3,Lack of recognition for contributions,Clarify performance goals and metrics
EMP091,Edward Scott,Engineering,47,5,3,Yes,Part Time,Sarah Johnson,2,4,2,3,3,2,1,4,2,2,3,3,4,3,4,3,3,3,1,4,2,2,4,3,1,4,4,3,2,2,2,3,3,4,3,2,2,2,1,3,2,4,3,3,Limited opportunities for career advancement,Better workload distribution during peak times
EMP092,Alicia Rodriguez,Finance,26,13,1,Yes,Part Time,Rachel Thompson,5,3,2,3,2,4,4,4,3,2,4,5,2,4,2,1,3,5,4,5,5,2,2,4,3,2,3,1,3,2,2,5,3,3,4,2,3,4,1,3,3,4,2,3,Lack of recognition for contributions,Implement regular feedback sessions
EMP093,Shannon Jenkins,Operations,56,4,6,No,Full Time,Matthew Lewis,3,3,2,3,2,2,5,4,2,1,2,3,3,4,4,4,4,5,4,4,3,3,3,3,5,4,3,3,4,3,3,3,3,5,2,2,3,3,3,4,3,3,4,5,Insufficient team collaboration,Expand flexible work arrangements
EMP094,Debra Miller,Sales,57,3,5,No,Part Time,Daniel Martinez,2,5,1,3,4,4,3,3,5,3,3,5,2,1,3,3,4,3,3,1,5,3,2,3,2,3,4,4,2,5,2,4,5,4,2,5,3,1,2,3,3,4,2,3,,Provide more resources for project completion
EMP095,Marie Baker,HR,30,0,9,Yes,Full Time,Jennifer Smith,4,3,3,4,4,2,1,2,3,4,3,2,4,1,4,2,3,1,4,3,4,3,4,2,3,4,3,2,3,5,2,3,3,4,3,2,3,4,4,3,4,5,2,3,High workload during peak periods,Better workload distribution during peak times
EMP096,April Powell,Finance,55,7,0,No,Part Time,Steven White,3,2,3,4,1,5,2,5,3,3,3,1,3,3,1,4,3,4,5,4,4,3,3,3,3,2,2,3,5,3,4,4,5,2,3,2,4,2,3,3,3,3,5,2,Inadequate resources for projects,Provide more resources for project completion
EMP097,Rebecca Hale,Marketing,64,10,2,No,Part Time,Michelle Garcia,3,3,3,4,4,4,4,2,2,4,4,3,2,3,3,4,4,3,2,5,1,5,3,2,3,2,3,2,5,4,4,3,2,4,2,3,2,3,2,4,4,3,4,4,Insufficient team collaboration,Provide more resources for project completion
EMP098,Erik Burgess,Operations,28,4,4,No,Full Time,Ashley Hall,4,4,4,4,5,2,1,3,2,2,4,3,3,2,4,5,4,3,4,3,2,2,3,4,3,2,3,1,3,2,3,2,3,4,1,3,3,4,5,3,2,3,2,4,Lack of clear communication from management,Implement regular feedback sessions
EMP099,Anthony Montes,HR,44,11,10,Yes,Full Time,Robert Wilson,4,2,5,3,4,3,4,4,4,3,3,3,5,5,2,4,3,3,3,1,3,3,3,2,4,4,2,3,2,2,3,4,2,2,2,4,1,4,3,2,4,3,4,3,Lack of recognition for contributions,Enhance recognition programs for employees
EMP100,Arthur Webster,Finance,48,13,9,No,Full Time,Nicole Clark,3,3,3,4,4,4,4,4,3,4,5,5,3,4,2,3,3,3,2,2,5,3,2,4,4,2,3,1,2,4,3,3,3,4,3,3,1,2,3,3,4,3,3,4,High workload during peak periods,
